VAR1     =VExpon(rnd	2,723	22,856	12,376	51,986	2,171	2,578	5,461	13,428	4,528	9,130	127,237	7,296	12,724	10,525
VAR2     =VExpon(rnd	,038	3,444	3,138	3,100	4,800	5,820	3,222	7,916	1,466	6,604	39,546	3,333	3,955	4,808
VAR3     =VExpon(rnd	10,849	5,605	,125	16,384	1,588	1,130	5,314	4,629	1,332	1,255	48,210	3,108	4,821	4,484
VAR4     =VExpon(rnd	1,028	1,910	13,216	2,147	,033	6,658	4,260	,485	4,754	7,949	42,440	3,204	4,244	4,622
VAR5     =VExpon(rnd	4,243	,492	,102	,777	2,791	,084	1,190	2,496	,498	,635	13,308	,706	1,331	1,019
VAR6     =VExpon(rnd	4,061	3,627	12,922	,189	4,289	,836	9,996	8,371	22,338	,656	67,284	4,175	6,728	6,023
VAR7     =VExpon(rnd	,340	5,993	2,714	11,395	4,037	7,310	5,920	2,197	,651	10,004	50,560	4,978	5,056	7,182
VAR8     =VExpon(rnd	,648	4,143	,520	12,472	5,454	10,728	,825	,874	2,627	1,016	39,307	1,822	3,931	2,628
VAR9     =VExpon(rnd	7,566	1,655	1,401	2,884	5,216	,185	,810	3,300	2,803	2,171	27,992	2,487	2,799	3,588
VAR10    =VExpon(rnd	29,543	1,302	1,801	3,100	1,672	,519	7,206	,487	5,858	17,985	69,473	2,451	6,947	3,536
NEWVAR11 =VExpon(rnd	11,891	1,380	10,338	2,804	9,153	4,221	2,631	4,046	2,301	15,377	64,142	4,134	6,414	5,964
NEWVAR12 =VExpon(rnd	1,612	,570	5,086	1,156	7,971	1,908	9,664	3,691	2,955	,519	35,132	2,431	3,513	3,508
NEWVAR13 =VExpon(rnd	7,345	5,384	2,692	16,876	,333	2,570	2,270	2,732	1,828	1,966	43,997	2,631	4,400	3,796
NEWVAR14 =VExpon(rnd	1,363	,563	4,837	2,554	4,400	3,421	6,716	3,154	1,482	2,604	31,095	2,879	3,110	4,153
NEWVAR15 =VExpon(rnd	4,446	,605	12,106	,626	,313	18,149	1,259	2,353	,687	51,986	92,531	1,806	9,253	2,605
NEWVAR16 =VExpon(rnd	1,100	,285	17,837	6,517	3,594	7,616	1,461	,327	1,611	1,581	41,929	1,596	4,193	2,303
NEWVAR17 =VExpon(rnd	1,198	4,885	,606	5,754	6,582	,963	,021	7,356	,115	1,013	28,493	1,105	2,849	1,595
NEWVAR18 =VExpon(rnd	6,712	,465	,554	,072	2,951	,382	6,323	8,560	,318	1,385	27,721	,969	2,772	1,398
NEWVAR19 =VExpon(rnd	8,859	5,006	,909	1,887	2,566	6,189	,440	3,814	4,014	5,212	38,898	3,914	3,890	5,647
NEWVAR20 =VExpon(rnd	5,421	16,311	7,943	1,804	4,869	,183	3,430	,295	11,982	,919	53,158	4,149	5,316	5,986
