8,470	3,291	5,331	7,398	6,359	3,142	2,743	4,215	,676	9,307	1,350	2,110	,955	1,315	,684	,615	6,727	8,699	,275	9,260
5,146	6,220	2,448	7,915	4,517	1,964	7,779	7,296	3,661	7,834	8,588	2,505	3,984	5,235	6,278	4,949	6,894	5,573	2,257	6,033
1,000	,708	4,503	2,633	1,907	5,696	3,934	3,117	6,307	3,122	9,748	8,931	9,980	8,767	7,726	5,854	8,709	8,413	3,650	9,668
1,356	4,853	7,435	,860	7,203	8,847	8,492	9,147	4,134	7,090	1,961	3,009	4,806	2,237	,500	5,105	1,875	6,945	6,763	8,090
4,852	2,279	8,412	,470	4,733	6,548	,319	9,518	6,674	3,383	,302	7,149	2,706	4,818	,390	5,394	4,859	2,882	2,617	6,285
,726	7,341	9,967	9,449	9,441	6,409	9,635	1,210	6,038	1,838	9,139	1,284	4,426	7,534	2,387	3,577	8,510	7,402	3,283	1,997
8,850	4,351	5,427	2,051	5,760	9,650	8,383	8,181	6,831	3,681	9,640	7,183	,345	4,725	7,482	7,340	4,584	1,063	,188	6,931
7,726	9,099	2,908	1,732	3,464	1,311	3,790	4,732	3,280	3,890	6,329	5,677	2,329	1,990	5,679	9,724	5,769	,771	6,997	2,027
4,909	5,440	1,185	6,904	1,415	7,604	2,415	6,858	6,002	8,981	8,991	3,290	3,199	4,102	5,444	,732	7,540	7,498	6,305	3,716
6,275	5,885	2,294	3,725	6,218	3,620	7,597	7,621	,982	2,779	5,925	1,144	6,975	9,768	3,684	,700	,602	,992	7,281	2,695
5,379	7,469	1,841	6,321	5,293	9,710	7,082	1,484	3,554	,491	6,058	,579	,942	,596	9,553	4,388	8,239	,804	8,347	3,692
7,617	4,987	7,484	4,133	4,274	7,557	3,945	3,715	7,454	6,064	,758	3,062	4,814	8,166	5,579	9,832	4,010	1,517	6,065	1,679
9,786	7,536	3,986	4,561	3,743	5,082	1,185	3,727	3,442	,126	2,641	8,908	5,913	9,702	5,385	7,136	8,188	,839	6,449	5,440
9,025	3,857	,339	4,705	5,999	6,081	9,619	4,098	9,812	9,870	,191	9,510	9,370	4,130	,961	9,846	3,579	7,769	,836	4,013
1,881	,176	,257	5,926	2,546	7,045	7,910	5,193	,508	7,031	9,500	4,218	9,047	3,415	8,309	6,281	1,445	9,478	7,617	4,664
3,169	8,824	8,903	4,505	2,036	3,219	5,087	9,987	5,577	4,827	6,023	2,760	3,946	3,804	1,866	2,979	7,302	,305	2,773	,801
,005	4,710	6,783	5,435	3,941	9,638	3,923	2,260	4,170	3,242	7,123	7,526	,223	5,053	5,913	,764	1,632	4,602	9,824	1,507
1,593	2,634	9,636	7,464	8,798	4,127	1,755	7,799	6,185	8,655	4,762	1,872	5,163	7,625	,062	1,089	7,136	2,442	9,060	6,858
2,953	3,902	2,770	7,457	2,429	8,715	3,905	2,151	4,169	7,236	5,193	8,443	3,951	5,245	2,415	2,115	7,559	8,524	1,353	8,947
8,256	4,599	9,788	2,614	2,182	7,908	9,520	7,061	,884	1,656	,356	8,275	7,018	8,501	4,952	8,914	3,240	1,097	5,964	1,632
5,957	5,131	9,974	6,612	,233	5,088	4,489	,812	5,495	9,039	1,006	,021	3,774	9,014	1,555	6,271	7,101	7,045	8,167	1,591
1,763	2,288	9,183	6,573	1,392	3,390	5,127	1,978	2,127	6,575	9,131	6,419	7,876	5,749	5,100	3,803	2,542	4,818	6,941	8,035
3,394	9,711	6,780	4,730	5,254	1,605	8,602	2,622	1,607	5,064	4,057	1,217	,736	8,368	1,429	8,799	,920	9,798	8,997	3,648
9,025	,304	9,738	9,438	6,827	4,644	,937	9,068	7,711	,854	7,795	3,146	6,832	4,090	5,469	6,830	9,348	9,510	9,115	5,274
2,546	6,297	4,356	2,887	2,117	6,336	3,896	7,211	2,758	1,076	6,769	8,501	8,997	5,049	7,508	1,289	5,368	2,786	,644	,106
9,782	,912	2,811	9,486	2,754	2,248	5,412	7,501	1,584	8,544	7,072	3,677	2,677	6,203	4,200	4,422	2,440	1,635	3,200	6,142
2,561	6,547	7,153	4,858	6,706	6,304	3,820	5,985	6,092	3,997	6,119	5,438	1,499	,407	4,830	4,000	3,710	6,316	,736	2,451
2,102	4,419	,102	,208	6,106	9,479	2,320	6,937	5,951	2,292	9,206	,249	9,292	,515	8,416	7,799	3,785	1,806	7,607	7,244
,816	1,818	3,055	3,856	2,612	6,778	2,868	6,462	2,201	3,788	3,989	4,634	6,613	9,879	3,450	5,402	2,879	2,083	8,280	5,799
4,750	5,539	4,625	6,523	8,558	,871	6,413	,948	3,053	4,117	8,341	2,740	7,140	4,181	9,315	,804	9,727	9,972	8,240	4,047
1,464	4,748	6,129	4,563	,571	6,236	5,203	2,678	5,433	1,798	1,671	6,507	9,328	4,715	8,815	9,333	5,540	8,269	9,915	4,434
4,541	6,642	5,490	6,711	1,245	5,345	,575	3,814	7,251	8,388	,041	,337	2,715	5,929	4,043	6,435	7,794	8,124	2,738	2,265
4,359	5,474	3,245	3,291	5,292	2,990	4,190	,761	8,632	7,796	2,308	,285	3,909	9,421	7,128	1,395	,655	7,399	8,182	3,623
6,642	1,195	5,094	3,986	1,331	8,400	4,278	5,863	7,863	2,800	1,010	,638	7,645	5,802	6,694	9,718	2,083	8,811	2,737	4,508
2,934	5,114	1,307	7,071	4,528	2,362	5,820	6,710	3,404	,837	,504	,466	5,343	6,320	1,143	4,121	6,126	4,592	3,516	3,457
4,570	1,919	1,078	7,872	8,434	9,213	6,968	8,774	2,014	4,387	3,903	8,885	7,968	,099	4,540	,862	8,951	9,005	1,534	7,360
3,315	5,381	,471	3,617	8,914	9,517	7,646	4,584	,673	5,322	6,999	3,235	,625	4,827	,558	1,602	,801	,063	,357	1,715
5,546	9,670	9,351	1,992	7,812	9,840	3,917	8,701	5,656	9,064	6,016	6,418	2,986	1,250	9,554	9,050	3,707	,305	8,435	,503
,170	8,863	7,002	4,870	4,317	8,752	3,150	4,046	9,539	9,287	4,516	8,010	4,117	8,749	9,379	5,041	6,335	5,420	6,020	3,421
7,207	1,836	9,791	2,716	7,565	6,606	7,422	2,903	1,257	6,001	5,965	5,294	3,441	5,176	,579	5,043	9,273	9,288	6,418	7,307
3,794	6,062	3,371	3,293	7,459	1,567	5,373	2,700	1,431	3,511	4,948	5,813	,240	6,425	6,626	7,163	8,420	4,842	4,939	1,280
4,666	4,553	4,258	3,568	,085	9,219	4,197	6,056	3,646	3,630	,482	6,491	1,756	4,190	9,519	1,279	,821	7,307	7,713	6,826
3,977	8,773	9,291	8,668	6,603	9,360	9,762	7,197	7,614	3,526	4,008	4,697	7,792	2,055	2,812	1,949	7,917	5,727	6,954	9,736
3,792	2,440	8,395	4,746	4,893	2,550	1,742	6,809	2,400	3,480	5,324	3,520	3,970	2,887	6,796	2,537	7,259	8,427	3,816	1,515
5,508	1,239	1,630	9,918	8,397	8,430	,438	3,905	7,380	8,472	3,854	9,259	9,487	8,396	8,909	3,011	1,749	5,233	2,635	2,191
8,656	4,094	5,805	6,582	2,036	,585	3,463	4,715	1,199	2,586	1,358	2,811	5,053	9,004	8,397	9,778	2,503	8,745	3,485	4,520
4,007	6,830	,074	7,855	5,847	1,289	2,984	1,294	8,147	7,030	2,995	2,656	4,188	7,332	3,388	5,220	7,253	5,478	7,445	2,267
9,516	2,542	6,589	1,814	3,688	2,995	5,832	3,607	3,041	6,168	,334	8,199	7,732	2,217	,252	5,744	7,916	1,299	5,741	6,401
