5,103	1,179	4,807	9,649	5,969	9,448	8,821	7,038	3,959	9,706	2,663	1,280	,280	6,076	9,241	,118	3,263	3,721	9,312	4,466
,659	7,251	6,730	5,388	2,589	4,992	5,848	7,834	7,791	8,605	8,665	4,005	3,778	7,170	,709	,241	2,939	2,892	,221	9,624
9,281	8,023	6,872	,730	1,667	4,234	,915	4,746	6,553	3,553	,575	,988	7,998	4,404	6,485	1,721	6,694	7,086	2,409	,243
8,893	8,176	4,667	5,435	1,932	,029	3,694	3,740	1,780	1,637	6,989	6,419	6,445	,733	,973	2,807	,304	5,685	8,926	5,394
4,599	7,024	3,759	8,891	,699	3,637	7,154	9,675	9,716	10,000	,641	,433	7,038	3,892	9,991	4,764	,195	2,435	1,653	8,048
5,934	7,423	2,625	1,535	4,517	,163	9,167	1,809	5,574	7,860	8,009	4,121	4,703	4,245	6,721	2,870	7,316	1,272	7,085	3,356
5,309	5,818	1,888	2,411	1,298	2,552	7,587	4,527	2,434	8,050	4,911	,904	6,652	9,908	6,502	2,755	3,691	2,299	3,618	9,843
5,813	5,582	8,633	4,812	5,484	2,430	9,048	7,188	3,255	3,333	,254	6,913	1,140	9,138	8,277	7,107	1,998	7,204	9,533	1,488
7,121	5,268	3,426	3,142	6,638	7,833	9,226	7,228	7,485	3,438	1,891	5,121	6,153	8,648	1,510	7,183	7,859	1,733	8,245	3,235
3,625	2,806	3,084	4,699	5,139	3,010	5,842	6,646	7,035	9,724	1,534	,868	2,223	5,949	5,404	7,102	3,682	5,821	8,725	2,955
