CASE1	1,628	1,778	2,449	1,959	2,432	1,478	1,708	2,351	2,495	1,008	1,643	2,168	,727	2,539	1,267	1,572	1,861	2,925	2,086	2,908
CASE2	2,355	1,481	1,837	1,594	2,480	2,201	1,754	2,317	1,883	2,234	1,686	2,469	2,265	2,342	1,788	1,873	2,274	1,562	1,886	1,509
CASE3	1,776	1,697	1,813	2,619	1,488	2,425	3,155	1,195	2,532	2,319	1,361	2,145	1,166	2,306	2,161	1,179	3,243	1,305	1,504	1,997
CASE4	1,476	1,936	2,069	2,025	1,569	2,514	2,730	2,760	1,914	1,511	1,768	2,686	1,705	2,259	1,523	1,700	1,546	2,391	2,769	2,546
CASE5	2,129	2,551	2,270	2,637	2,900	1,709	2,465	2,039	1,720	2,051	2,049	1,567	2,086	3,204	2,417	2,240	2,272	2,607	1,945	2,279
CASE6	2,092	2,047	2,705	2,096	2,330	2,289	2,149	1,748	1,917	2,100	2,064	2,400	2,646	1,780	1,428	2,560	2,254	1,951	1,061	2,234
CASE7	2,653	3,263	3,191	2,434	1,759	1,833	1,936	2,740	3,005	1,241	1,409	1,725	1,807	2,265	1,095	2,112	1,161	1,227	1,863	2,233
CASE8	2,740	3,307	2,975	2,283	2,426	2,012	2,521	2,395	2,031	3,018	1,771	2,243	2,941	2,398	2,040	2,085	2,058	2,514	1,477	1,379
CASE9	1,113	3,059	2,654	2,019	1,915	1,809	2,515	2,435	1,961	1,373	1,769	3,094	2,374	1,801	1,485	2,524	1,839	2,100	2,090	2,152
CASE10	2,696	1,634	2,106	1,277	2,287	2,677	1,137	1,574	,967	2,233	2,942	2,041	1,584	1,976	1,449	2,703	1,905	1,157	1,320	3,007
CASE11	2,590	2,414	1,762	1,907	1,992	2,530	,994	2,013	1,740	2,708	1,480	1,804	1,902	1,875	2,186	2,225	2,167	1,820	1,391	2,589
CASE12	1,187	2,488	2,366	1,143	1,773	3,413	2,063	1,277	2,635	1,790	2,096	2,217	2,216	2,595	1,673	2,556	2,072	2,251	1,085	2,332
CASE13	1,671	1,017	1,284	1,865	2,234	2,119	2,146	2,038	2,061	1,117	2,619	2,015	1,907	2,032	2,724	1,950	2,395	1,432	2,182	1,873
CASE14	1,760	2,032	2,474	2,091	2,097	1,891	2,462	1,649	1,962	1,941	1,562	2,377	2,061	1,861	1,426	1,229	2,188	1,672	1,367	1,696
CASE15	1,523	1,806	1,207	1,800	3,046	2,121	1,928	2,430	,800	1,240	2,797	1,964	2,498	2,355	1,632	2,726	1,622	2,512	1,431	2,671
CASE16	2,542	2,437	2,572	2,133	1,066	1,622	3,420	2,279	1,620	2,832	1,247	2,429	2,689	1,621	1,768	1,853	1,401	2,434	2,047	1,979
CASE17	1,932	1,891	2,065	1,327	2,799	1,038	1,502	2,169	1,845	2,375	1,227	1,880	2,083	1,575	2,383	1,497	2,311	1,668	1,648	1,145
CASE18	2,912	2,450	2,292	1,815	2,841	1,878	1,965	1,486	1,443	1,875	2,898	2,249	1,729	1,899	2,578	2,982	,849	2,525	2,224	2,399
CASE19	1,789	2,843	1,786	1,822	1,833	2,529	2,425	2,186	2,511	1,378	1,570	1,881	2,184	1,426	2,287	2,607	1,728	3,051	1,629	3,149
CASE20	2,207	1,042	1,939	2,064	1,600	1,964	2,021	2,453	1,846	1,414	1,846	2,048	2,393	3,029	2,229	1,635	1,291	1,314	1,285	1,940
CASE21	1,572	1,688	2,347	,712	2,216	1,284	1,638	1,905	1,935	1,986	2,130	2,473	2,722	2,326	1,579	2,656	1,862	3,035	1,696	1,669
CASE22	1,399	2,630	2,365	1,455	1,343	1,752	1,302	1,982	2,217	1,667	2,577	2,508	2,733	1,681	1,851	1,867	1,661	1,492	1,406	2,119
CASE23	1,434	1,734	2,374	1,179	2,288	2,302	1,721	1,862	2,807	2,072	2,677	2,435	2,403	1,906	1,571	,911	1,844	1,429	2,511	2,600
CASE24	1,656	2,322	2,269	1,988	2,401	2,468	2,228	2,270	1,459	2,338	2,229	1,824	2,161	2,522	1,740	2,078	1,383	3,335	2,229	2,772
CASE25	2,012	1,902	1,833	2,428	1,706	2,564	1,635	1,694	1,924	2,229	2,798	1,891	1,674	1,302	2,967	1,541	1,877	2,311	1,566	2,695
CASE26	1,383	3,420	2,091	2,877	2,152	1,201	2,222	2,326	2,014	1,885	1,882	1,984	1,646	2,107	2,159	2,139	1,126	2,614	2,828	1,748
CASE27	2,788	2,798	1,483	2,275	2,668	,957	2,314	1,696	1,234	1,345	2,555	2,922	1,719	2,512	1,673	2,414	1,420	2,133	1,701	1,894
CASE28	2,172	2,910	1,083	2,401	1,845	2,191	2,374	,795	2,090	2,186	2,008	2,382	2,441	1,556	1,803	1,800	2,301	2,045	1,924	3,095
CASE29	1,605	1,512	1,982	1,459	2,164	1,977	1,831	2,483	2,216	2,613	1,826	1,078	2,397	2,807	1,852	1,663	1,805	1,404	1,651	2,647
CASE30	1,727	2,323	1,951	1,402	1,843	1,947	2,384	2,335	2,228	2,425	1,958	1,856	1,264	1,809	1,163	2,334	2,297	2,883	1,769	2,477
CASE31	2,325	1,405	1,476	1,567	2,283	2,212	2,007	2,543	2,384	2,161	2,145	2,762	2,051	2,033	1,499	2,021	2,360	1,122	3,013	2,538
CASE32	1,906	1,740	2,711	1,507	1,621	1,948	1,742	1,808	2,049	1,963	2,514	1,159	2,423	1,027	2,343	1,585	2,940	1,798	2,332	1,746
CASE33	2,051	1,909	2,096	1,991	2,464	2,625	2,630	2,233	1,548	1,980	1,967	1,497	2,103	1,853	2,954	1,761	1,853	1,558	1,950	2,833
CASE34	1,892	2,191	2,318	2,365	1,162	1,942	2,667	2,953	2,081	2,457	1,189	2,537	1,789	1,919	1,910	2,011	2,017	2,374	1,290	2,392
CASE35	1,978	2,366	1,591	2,260	2,130	2,254	2,337	2,335	2,276	1,470	1,468	1,301	2,800	1,736	2,537	2,268	1,381	3,260	,974	1,713
CASE36	2,208	2,438	1,970	1,976	2,614	1,472	1,761	1,977	1,632	1,732	1,740	2,188	2,010	2,930	1,696	1,577	2,097	2,646	1,353	1,864
CASE37	1,456	2,349	2,020	1,865	2,354	3,051	2,213	2,020	2,478	2,137	1,720	1,399	1,426	2,357	1,395	2,372	1,777	1,976	2,382	2,975
CASE38	2,241	1,857	2,289	1,885	2,202	1,715	1,036	2,775	2,756	1,927	1,564	1,431	1,923	2,298	1,698	1,973	1,835	1,707	2,144	2,387
CASE39	2,064	2,000	1,199	3,239	2,464	1,733	2,075	2,688	1,624	2,723	2,220	2,130	1,661	1,128	1,943	2,394	2,048	1,938	1,451	1,810
CASE40	2,157	1,863	3,358	1,544	1,443	2,717	1,294	1,684	1,370	1,426	2,461	2,506	1,763	1,718	1,698	2,999	1,323	1,624	,839	1,661
