2,099	,940	2,445	2,591	1,596	2,141	1,927	2,088	1,835	2,283	2,685	2,127	2,005	1,895	1,475	1,790	2,170	2,914	2,696	1,507
1,889	2,191	1,646	2,238	1,682	2,128	2,498	2,502	1,803	1,929	2,225	1,498	3,617	1,962	2,286	2,216	2,767	2,166	1,971	1,977
1,951	2,856	1,977	1,471	1,495	2,371	2,346	1,919	2,419	2,411	1,505	2,481	1,878	1,928	2,130	2,482	1,957	2,404	,850	1,801
1,861	2,293	2,040	2,352	1,480	2,156	2,584	1,674	2,328	2,624	2,886	1,796	1,272	1,850	2,097	2,230	2,283	1,324	2,069	2,464
2,278	2,971	2,045	2,140	1,488	1,466	2,435	3,030	1,538	1,796	2,122	,674	1,693	2,316	,710	1,597	1,987	2,203	2,195	1,231
2,701	1,655	1,403	1,856	2,230	1,854	2,679	2,367	1,102	2,182	2,136	2,089	,933	1,872	1,902	2,189	1,098	2,214	1,512	1,536
2,395	2,490	2,757	1,795	2,062	2,217	1,193	1,965	2,102	2,196	1,685	1,773	1,878	,634	1,724	,886	2,956	2,231	2,318	1,739
1,595	2,526	1,717	1,760	2,838	1,085	1,826	2,476	1,740	2,556	1,915	2,527	2,754	2,161	1,459	1,030	1,836	1,967	2,138	1,476
2,606	2,667	2,520	1,760	1,398	1,268	1,927	2,502	1,916	1,206	1,854	2,720	1,150	1,757	1,719	2,315	1,661	1,668	2,815	2,096
1,956	1,986	2,252	2,302	2,274	2,297	1,187	2,111	2,104	2,375	,878	1,461	2,374	1,967	1,375	2,156	2,398	2,688	1,871	,727
