VAR1     =Vnormal(rn	2,099	1,889	1,951	1,861	2,278	2,701	2,395	1,595	2,606	1,956	21,331	2,028	2,133	2,028
VAR2     =Vnormal(rn	,940	2,191	2,856	2,293	2,971	1,655	2,490	2,526	2,667	1,986	22,575	2,391	2,257	2,391
VAR3     =Vnormal(rn	2,445	1,646	1,977	2,040	2,045	1,403	2,757	1,717	2,520	2,252	20,802	2,042	2,080	2,042
VAR4     =Vnormal(rn	2,591	2,238	1,471	2,352	2,140	1,856	1,795	1,760	1,760	2,302	20,265	1,998	2,027	1,998
VAR5     =Vnormal(rn	1,596	1,682	1,495	1,480	1,488	2,230	2,062	2,838	1,398	2,274	18,542	1,639	1,854	1,639
VAR6     =Vnormal(rn	2,141	2,128	2,371	2,156	1,466	1,854	2,217	1,085	1,268	2,297	18,984	2,135	1,898	2,135
VAR7     =Vnormal(rn	1,927	2,498	2,346	2,584	2,435	2,679	1,193	1,826	1,927	1,187	20,602	2,136	2,060	2,136
VAR8     =Vnormal(rn	2,088	2,502	1,919	1,674	3,030	2,367	1,965	2,476	2,502	2,111	22,634	2,239	2,263	2,239
VAR9     =Vnormal(rn	1,835	1,803	2,419	2,328	1,538	1,102	2,102	1,740	1,916	2,104	18,886	1,876	1,889	1,876
VAR10    =Vnormal(rn	2,283	1,929	2,411	2,624	1,796	2,182	2,196	2,556	1,206	2,375	21,557	2,239	2,156	2,239
NEWVAR11 =Vnormal(rn	2,685	2,225	1,505	2,886	2,122	2,136	1,685	1,915	1,854	,878	19,892	2,019	1,989	2,019
NEWVAR12 =Vnormal(rn	2,127	1,498	2,481	1,796	,674	2,089	1,773	2,527	2,720	1,461	19,146	1,943	1,915	1,943
NEWVAR13 =Vnormal(rn	2,005	3,617	1,878	1,272	1,693	,933	1,878	2,754	1,150	2,374	19,555	1,878	1,955	1,878
NEWVAR14 =Vnormal(rn	1,895	1,962	1,928	1,850	2,316	1,872	,634	2,161	1,757	1,967	18,342	1,911	1,834	1,911
NEWVAR15 =Vnormal(rn	1,475	2,286	2,130	2,097	,710	1,902	1,724	1,459	1,719	1,375	16,876	1,721	1,688	1,721
NEWVAR16 =Vnormal(rn	1,790	2,216	2,482	2,230	1,597	2,189	,886	1,030	2,315	2,156	18,893	2,173	1,889	2,173
NEWVAR17 =Vnormal(rn	2,170	2,767	1,957	2,283	1,987	1,098	2,956	1,836	1,661	2,398	21,113	2,078	2,111	2,078
NEWVAR18 =Vnormal(rn	2,914	2,166	2,404	1,324	2,203	2,214	2,231	1,967	1,668	2,688	21,779	2,208	2,178	2,208
NEWVAR19 =Vnormal(rn	2,696	1,971	,850	2,069	2,195	1,512	2,318	2,138	2,815	1,871	20,436	2,104	2,044	2,104
NEWVAR20 =Vnormal(rn	1,507	1,977	1,801	2,464	1,231	1,536	1,739	1,476	2,096	,727	16,555	1,638	1,655	1,638
