	,469	8,804	2,568	3,545	4,908	,071	6,287	4,017	,683	8,771	8,476	,223	1,353	11,883	2,114	4,873	4,513	11,281	14,175	13,300
	2,793	7,969	13,160	19,346	7,214	6,970	,362	3,465	3,279	,571	,708	16,205	5,364	14,347	1,073	2,899	2,330	2,046	2,009	,078
	1,116	19,829	5,576	,262	13,051	,746	4,091	,469	5,463	1,434	9,159	3,117	,993	,410	1,651	14,057	1,363	2,494	5,225	1,664
	3,726	4,557	2,142	5,917	3,058	2,307	,340	,462	10,848	8,380	,700	,031	3,598	4,986	1,413	,815	,218	3,747	,614	1,271
	,608	2,685	3,069	6,783	,237	2,818	1,361	,482	11,328	9,071	2,401	1,625	4,050	3,720	7,541	1,054	12,237	2,428	1,934	6,365
	5,746	13,030	4,791	3,557	3,621	6,070	1,754	5,606	2,343	,463	5,482	,593	4,427	2,642	,281	,814	3,304	29,599	7,810	,625
	2,367	,528	3,082	2,914	4,110	9,967	13,289	10,145	1,932	3,061	20,717	,718	5,586	11,426	5,087	1,459	5,013	1,118	11,962	1,386
	2,326	,957	,698	3,842	,497	12,263	3,559	8,086	,629	1,073	,907	4,372	2,523	16,748	,275	8,960	10,674	1,007	,668	3,527
	8,740	3,676	4,110	1,834	11,675	1,593	,648	13,726	20,445	1,878	7,047	12,794	1,157	7,612	4,625	2,624	6,258	8,564	8,188	3,811
	5,113	1,150	1,893	,725	3,329	9,371	2,156	7,745	4,643	11,780	2,966	5,204	4,278	16,051	1,022	1,719	18,319	4,433	,758	1,769
	5,917	1,061	1,887	8,505	3,327	,734	4,797	8,207	4,775	21,055	10,998	2,012	2,130	,014	2,528	5,365	14,681	3,036	2,600	,268
	3,157	18,651	8,776	,046	2,687	9,390	,047	3,622	10,758	3,876	8,404	14,453	,391	1,478	2,928	3,459	1,074	1,116	,531	2,417
	4,165	1,837	2,213	,015	8,366	5,046	4,624	,688	11,740	11,826	2,467	11,125	1,321	3,566	,563	5,759	1,030	9,094	,783	11,278
	9,171	,101	1,522	15,524	5,144	,127	16,006	3,065	5,874	20,455	8,477	8,821	8,410	6,417	5,425	11,248	9,145	,374	1,960	3,308
	2,030	16,867	3,001	10,456	9,786	3,958	4,847	1,722	1,793	12,912	16,814	7,145	,975	4,759	,005	8,033	,008	,703	1,394	12,878
	2,132	7,236	3,454	3,892	1,702	3,946	3,701	9,049	3,553	17,358	,269	,002	3,087	3,339	3,884	3,328	4,551	4,033	2,894	6,863
	19,435	1,791	,217	3,260	5,510	2,961	2,861	,177	2,778	4,254	1,238	11,095	11,287	1,927	,174	5,838	6,292	1,990	3,676	,354
	,543	10,118	1,549	6,393	1,876	7,474	3,486	3,882	4,504	,122	9,411	6,695	,120	5,873	2,403	2,500	5,713	9,648	1,002	4,395
	,288	1,192	7,797	7,340	,893	,076	2,541	2,718	1,208	15,278	8,957	,453	18,403	7,830	9,830	3,851	1,176	1,750	1,399	3,845
	4,266	8,882	9,694	15,858	2,159	,837	2,516	,036	8,813	4,639	21,869	3,824	6,195	10,812	2,040	1,396	6,013	5,993	,764	9,078
	2,125	,909	4,346	12,385	7,565	,314	13,261	9,073	3,631	19,837	3,738	6,530	2,957	8,507	1,523	3,296	3,089	3,090	,142	22,391
	,964	5,211	5,039	2,631	2,527	,998	3,481	1,465	3,370	2,714	2,590	17,062	7,669	5,844	5,565	10,461	4,666	1,929	4,987	1,860
	2,368	,283	1,708	3,648	6,181	2,267	3,613	6,402	,424	1,226	1,691	19,000	3,550	4,964	4,870	1,784	,031	4,789	3,846	6,105
	8,685	9,071	10,211	9,846	,816	3,366	,173	2,112	2,468	3,921	4,418	6,121	3,409	15,085	3,285	11,410	2,705	5,478	5,573	10,334
	3,123	1,791	,043	,138	4,307	5,418	,327	2,132	9,795	6,476	9,725	14,178	2,989	5,041	3,779	15,010	3,375	3,768	1,268	3,616
	5,797	3,495	12,105	9,224	10,705	1,616	12,790	2,371	9,608	1,235	31,191	2,326	,980	12,004	6,290	2,580	2,843	12,997	5,305	,252
	8,982	3,957	10,174	1,498	1,141	1,272	10,262	6,495	2,596	3,991	9,093	18,619	6,066	7,763	,170	1,576	2,254	1,150	6,442	10,461
	6,371	5,591	5,138	3,523	,246	16,105	9,117	1,033	2,671	9,034	5,611	,298	,105	3,500	2,177	1,948	,372	,908	,403	1,017
	1,545	2,560	14,931	3,752	,165	5,125	8,394	1,709	,478	3,687	,901	10,874	8,949	2,833	2,508	6,174	5,224	7,236	11,175	,803
	13,900	7,079	14,578	11,889	1,124	3,927	8,248	,108	2,303	1,068	22,311	2,646	1,570	3,778	1,896	11,724	6,557	2,438	4,807	1,996
	6,576	24,795	1,874	6,541	8,434	5,542	13,147	6,993	9,196	2,712	1,398	4,658	1,971	7,029	7,486	8,157	7,678	1,079	,207	9,957
	1,201	,524	1,876	21,190	5,337	1,566	,962	,704	1,792	1,466	16,943	8,556	4,605	3,551	,753	3,496	,057	3,315	,804	5,042
	8,090	5,234	,041	6,609	3,074	4,611	2,232	6,208	2,685	,073	8,883	17,194	1,862	3,735	,315	,780	7,715	7,521	5,881	10,656
	4,186	16,527	2,084	2,460	3,001	3,779	1,664	,118	6,382	,011	,811	,538	3,027	3,056	,096	6,067	6,528	18,155	17,358	11,715
	1,674	12,808	,332	11,163	4,882	3,489	8,236	9,397	16,376	3,705	13,544	4,919	,345	6,959	1,165	26,278	6,061	15,192	2,524	6,346
	7,627	3,125	1,753	18,242	,549	1,097	5,543	9,377	15,701	,731	2,784	7,524	,223	21,075	1,572	3,182	,352	2,967	11,591	4,950
	7,240	5,889	1,106	2,889	9,452	,788	1,985	5,604	6,848	2,430	6,272	,753	2,123	1,784	1,443	6,493	3,885	7,617	8,740	1,975
	4,669	4,664	7,847	14,907	,108	,567	3,097	3,430	7,545	,167	,747	,711	1,162	6,219	,817	1,029	5,039	3,190	8,746	20,883
	4,080	,566	1,984	,583	10,482	4,358	6,165	1,598	8,683	2,879	6,454	8,749	2,670	5,870	2,489	7,654	5,428	2,205	6,473	,881
	1,366	1,614	4,749	8,815	11,788	1,331	4,704	1,344	6,372	,409	6,576	3,532	5,072	7,215	13,439	4,511	4,701	1,387	,896	3,007
