2,723	,038	10,849	1,028	4,243	4,061	,340	,648	7,566	29,543	11,891	1,612	7,345	1,363	4,446	1,100	1,198	6,712	8,859	5,421
22,856	3,444	5,605	1,910	,492	3,627	5,993	4,143	1,655	1,302	1,380	,570	5,384	,563	,605	,285	4,885	,465	5,006	16,311
12,376	3,138	,125	13,216	,102	12,922	2,714	,520	1,401	1,801	10,338	5,086	2,692	4,837	12,106	17,837	,606	,554	,909	7,943
51,986	3,100	16,384	2,147	,777	,189	11,395	12,472	2,884	3,100	2,804	1,156	16,876	2,554	,626	6,517	5,754	,072	1,887	1,804
2,171	4,800	1,588	,033	2,791	4,289	4,037	5,454	5,216	1,672	9,153	7,971	,333	4,400	,313	3,594	6,582	2,951	2,566	4,869
2,578	5,820	1,130	6,658	,084	,836	7,310	10,728	,185	,519	4,221	1,908	2,570	3,421	18,149	7,616	,963	,382	6,189	,183
5,461	3,222	5,314	4,260	1,190	9,996	5,920	,825	,810	7,206	2,631	9,664	2,270	6,716	1,259	1,461	,021	6,323	,440	3,430
13,428	7,916	4,629	,485	2,496	8,371	2,197	,874	3,300	,487	4,046	3,691	2,732	3,154	2,353	,327	7,356	8,560	3,814	,295
4,528	1,466	1,332	4,754	,498	22,338	,651	2,627	2,803	5,858	2,301	2,955	1,828	1,482	,687	1,611	,115	,318	4,014	11,982
9,130	6,604	1,255	7,949	,635	,656	10,004	1,016	2,171	17,985	15,377	,519	1,966	2,604	51,986	1,581	1,013	1,385	5,212	,919
